"Date(UTC)","UnixTimeStamp","No. of Deployed Contracts"
"2017-10-09","1507507200","16077"
"2017-10-10","1507593600","3769"
"2017-10-11","1507680000","6395"
"2017-10-12","1507766400","7434"
"2017-10-13","1507852800","3317"
"2017-10-14","1507939200","6663"
"2017-10-15","1508025600","12941"
"2017-10-16","1508112000","18483"
"2017-10-17","1508198400","15469"
"2017-10-18","1508284800","10256"
"2017-10-19","1508371200","24012"
"2017-10-20","1508457600","24909"
"2017-10-21","1508544000","10308"
"2017-10-22","1508630400","18626"
"2017-10-23","1508716800","25890"
"2017-10-24","1508803200","41239"
"2017-10-25","1508889600","34096"
"2017-10-26","1508976000","31266"
"2017-10-27","1509062400","20022"
"2017-10-28","1509148800","5260"
"2017-10-29","1509235200","4578"
"2017-10-30","1509321600","7959"
"2017-10-31","1509408000","26017"
"2017-11-01","1509494400","27483"
"2017-11-02","1509580800","26216"
"2017-11-03","1509667200","15467"
"2017-11-04","1509753600","16614"
"2017-11-05","1509840000","14688"
"2017-11-06","1509926400","17830"
"2017-11-07","1510012800","8318"
"2017-11-08","1510099200","22828"
"2017-11-09","1510185600","51000"
"2017-11-10","1510272000","42629"
"2017-11-11","1510358400","30604"
"2017-11-12","1510444800","27014"
"2017-11-13","1510531200","29034"
"2017-11-14","1510617600","22702"
"2017-11-15","1510704000","32304"
"2017-11-16","1510790400","37185"
"2017-11-17","1510876800","39371"
"2017-11-18","1510963200","20088"
